pl_name,ra,dec,sy_dist,X,Y,Z,pl_bmasse,color
Kepler-154 e,289.7805393,49.8965624,915.212,199.5150923151633,-554.7656326812539,700.0298748469525,,n
Kepler-154 f,289.7805393,49.8965624,915.212,199.5150923151633,-554.7656326812539,700.0298748469525,,n
Kepler-1540 b,283.3445555,41.2017544,244.96,42.53915570545496,-179.33027826251447,161.35821370527188,,n
Kepler-1541 b,283.7870875,48.0296019,416.692,66.4090647847542,-270.632558872496,309.80651551660316,,n
Kepler-1542 b,285.7284757,42.6544651,399.114,79.56970237508189,-282.53912425296386,270.42982588151983,,n
Kepler-1542 c,285.7284757,42.6544651,399.114,79.56970237508189,-282.53912425296386,270.42982588151983,,n
Kepler-1542 d,285.7284757,42.6544651,399.114,79.56970237508189,-282.53912425296386,270.42982588151983,,n
Kepler-1542 e,285.7284757,42.6544651,399.114,79.56970237508189,-282.53912425296386,270.42982588151983,,n
Kepler-1543 b,297.1242915,47.0369876,921.784,286.41942795301304,-559.1279672994237,674.555831737213,,n
Kepler-1544 b,297.2852168,49.2124526,335.09,100.3480003453268,-194.5438319573847,253.7090545763614,,n
Kepler-1545 b,298.8988313,47.4630696,729.964,238.49264758539124,-432.04951485999965,537.8679345833411,,n
Kepler-1546 b,297.5839183,41.5411993,931.956,322.9984217087977,-618.2615928698743,618.0344717664473,,n
Kepler-1547 b,283.7640396,42.2220992,674.695,118.87684861880255,-485.29448712994616,453.3992706751356,,n
Kepler-1548 b,287.4711817,46.0805706,872.279,181.65266857138118,-577.1406985707443,628.3164615821945,,n
Kepler-1549 b,286.0524399,39.0960281,803.052,172.3366773788802,-598.9399584855435,506.4222649759224,,n
Kepler-155 b,288.4957831,51.0819286,293.499,58.491307688870734,-174.85485833357848,228.3554432085867,,n
Kepler-155 c,288.4957831,51.0819286,293.499,58.491307688870734,-174.85485833357848,228.3554432085867,,n
Kepler-1550 b,287.7646113,38.2947076,1179.01,282.3238001767514,-881.2052766818031,730.6402071484328,,n
